,Unnamed: 0,created_at,text,sentiment,positive_sentiment_score,negative_sentiment_score
0,0,2022-12-04 16:56:23+00:00,"@PlaneBoston JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/UADNyro9bg",NEUTRAL,0.02356656640768051,0.00041306213825009763
1,1,2022-12-04 16:56:18+00:00,"@bluesman32092 @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/a4WJjLSKf5",NEUTRAL,0.02356656640768051,0.00041306213825009763
2,2,2022-12-04 16:56:14+00:00,"@ClappedJ_3 JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/AfgMPxPCmn",NEUTRAL,0.02356656640768051,0.00041306213825009763
3,3,2022-12-04 16:56:13+00:00,"AI services can deliver growth at an affordable price.

#Neuralink 

https://t.co/qCXCwmbRuK

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/pGtkuPXupG https://t.co/oXvicnCxZ9",NEUTRAL,0.02356656640768051,0.00041306213825009763
4,4,2022-12-04 16:56:12+00:00,"@1goonrich BULL RUN STARTS🔥
A small investment will provide us with financial freedom.

https://t.co/pFm5w1GlEL

@rabbit2023_

#BSC #ETH #BNB #Rabbit2023 #ElonMusk #Vitalik #CZ #RabbitYear $RABBIT #币安 #区块链 #加密货币",NEUTRAL,0.02356656640768051,0.00041306213825009763
5,5,2022-12-04 16:56:11+00:00,"@chelseaboyle @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/qTXvI8SJi2",NEUTRAL,0.02356656640768051,0.00041306213825009763
6,6,2022-12-04 16:56:06+00:00,"#BREAKING People don't even  care about what the news of the day is. They just skim through it to gather enough information to arm themselves for Twitter debates with bots. Hoping to feel like they've one upped someone once in their life.
#BREAKING_NEWS #Elonmusk",NEUTRAL,0.02356656640768051,0.00041306213825009763
7,7,2022-12-04 16:56:06+00:00,"@WorldSaferBook @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/rFWQMfu3QX",NEUTRAL,0.02356656640768051,0.00041306213825009763
8,8,2022-12-04 16:55:57+00:00,"@not_onions @mtaibbi Greetings from Germany, the truth hurts 💊💊💊
#twitterfiles 
#Elonmusk https://t.co/ES1irJ3WYv",NEUTRAL,0.02356656640768051,0.00041306213825009763
9,9,2022-12-04 16:55:55+00:00,"@rwchomeworks @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/HCIWBX9BWT",NEUTRAL,0.02356656640768051,0.00041306213825009763
